time,q,Month,Year,Region
1940-01-01,0.0031459002397522,1,1940,AZ_West
1940-02-01,0.0031585992448248,2,1940,AZ_West
1940-03-01,0.0027893368296014,3,1940,AZ_West
1940-04-01,0.0036867156992076,4,1940,AZ_West
1940-05-01,0.0035307424237174,5,1940,AZ_West
1940-06-01,0.0038941691588705,6,1940,AZ_West
1940-07-01,0.0041954321200604,7,1940,AZ_West
1940-08-01,0.0060034044356965,8,1940,AZ_West
1940-09-01,0.0059215803940884,9,1940,AZ_West
1940-10-01,0.0041286219079497,10,1940,AZ_West
1940-11-01,0.0023045402611391,11,1940,AZ_West
1940-12-01,0.0031889228151921,12,1940,AZ_West
1941-01-01,0.0032826364778112,1,1941,AZ_West
1941-02-01,0.0041534176020386,2,1941,AZ_West
1941-03-01,0.0037288869173416,3,1941,AZ_West
1941-04-01,0.003776633581431,4,1941,AZ_West
1941-05-01,0.0035202505117426,5,1941,AZ_West
1941-06-01,0.0036827345369828,6,1941,AZ_West
1941-07-01,0.0052087732699978,7,1941,AZ_West
1941-08-01,0.0058771782980182,8,1941,AZ_West
1941-09-01,0.0040861974512415,9,1941,AZ_West
1941-10-01,0.0043567304011482,10,1941,AZ_West
1941-11-01,0.0027695044716547,11,1941,AZ_West
1941-12-01,0.0033293128241702,12,1941,AZ_West
1942-01-01,0.0027859286021617,1,1942,AZ_West
1942-02-01,0.0022583885803343,2,1942,AZ_West
1942-03-01,0.0019819450980718,3,1942,AZ_West
1942-04-01,0.0034147206812901,4,1942,AZ_West
1942-05-01,0.002552294331347,5,1942,AZ_West
1942-06-01,0.0029991302976358,6,1942,AZ_West
1942-07-01,0.0047074126602141,7,1942,AZ_West
1942-08-01,0.0066551649736773,8,1942,AZ_West
1942-09-01,0.0035239567492171,9,1942,AZ_West
1942-10-01,0.0033592957117043,10,1942,AZ_West
1942-11-01,0.0026079690417365,11,1942,AZ_West
1942-12-01,0.0026371432447633,12,1942,AZ_West
1943-01-01,0.0025113081578113,1,1943,AZ_West
1943-02-01,0.0028407498565832,2,1943,AZ_West
1943-03-01,0.0032505927039803,3,1943,AZ_West
1943-04-01,0.0033781577881529,4,1943,AZ_West
1943-05-01,0.0024682380126945,5,1943,AZ_West
1943-06-01,0.0030764163319776,6,1943,AZ_West
1943-07-01,0.0042941489934038,7,1943,AZ_West
1943-08-01,0.0078524020998964,8,1943,AZ_West
1943-09-01,0.0044861269178817,9,1943,AZ_West
1943-10-01,0.0038643268817048,10,1943,AZ_West
1943-11-01,0.0022565739370711,11,1943,AZ_West
1943-12-01,0.0031304142112561,12,1943,AZ_West
1944-01-01,0.002216359371677,1,1944,AZ_West
1944-02-01,0.0030647939406222,2,1944,AZ_West
1944-03-01,0.0026961912048889,3,1944,AZ_West
1944-04-01,0.0027647572977208,4,1944,AZ_West
1944-05-01,0.0030389866913449,5,1944,AZ_West
1944-06-01,0.0032185545265821,6,1944,AZ_West
1944-07-01,0.0035098054698907,7,1944,AZ_West
1944-08-01,0.0044462544344289,8,1944,AZ_West
1944-09-01,0.0049865158470591,9,1944,AZ_West
1944-10-01,0.0033650180640149,10,1944,AZ_West
1944-11-01,0.0037256458833252,11,1944,AZ_West
1944-12-01,0.0023368631570448,12,1944,AZ_West
1945-01-01,0.0022575148372982,1,1945,AZ_West
1945-02-01,0.002865602914106,2,1945,AZ_West
