time,tp,Month,Year,Region
1940-01-01,0.0010601502818795,1,1940,AZ_West
1940-02-01,0.0013558714848494,2,1940,AZ_West
1940-03-01,0.0002419489823524,3,1940,AZ_West
1940-04-01,0.0009250590655164,4,1940,AZ_West
1940-05-01,0.00013079776205,5,1940,AZ_West
1940-06-01,5.351211635775352e-05,6,1940,AZ_West
1940-07-01,5.997830825334861e-05,7,1940,AZ_West
1940-08-01,0.0003540677905008,8,1940,AZ_West
1940-09-01,0.0007044264942587,9,1940,AZ_West
1940-10-01,0.0002641220034758,10,1940,AZ_West
1940-11-01,0.000328362553531,11,1940,AZ_West
1940-12-01,0.0020928838407606,12,1940,AZ_West
1941-01-01,0.0008678274582452,1,1941,AZ_West
1941-02-01,0.0022827651524108,2,1941,AZ_West
1941-03-01,0.0022669508134223,3,1941,AZ_West
1941-04-01,0.002102613474101,4,1941,AZ_West
1941-05-01,0.0002443176651439,5,1941,AZ_West
1941-06-01,0.0002535548344193,6,1941,AZ_West
1941-07-01,0.0003073235869799,7,1941,AZ_West
1941-08-01,0.0005150255084748,8,1941,AZ_West
1941-09-01,0.000388339127756,9,1941,AZ_West
1941-10-01,0.0009336910588809,10,1941,AZ_West
1941-11-01,0.0001342658188457,11,1941,AZ_West
1941-12-01,0.0012868536865581,12,1941,AZ_West
1942-01-01,0.0002741793681833,1,1942,AZ_West
1942-02-01,0.0003987762446827,2,1942,AZ_West
1942-03-01,0.0002670559795249,3,1942,AZ_West
1942-04-01,0.0006570528384293,4,1942,AZ_West
1942-05-01,0.0001190809321657,5,1942,AZ_West
1942-06-01,1.2859554598480128e-05,6,1942,AZ_West
1942-07-01,0.0001445902239266,7,1942,AZ_West
1942-08-01,0.0012178133458975,8,1942,AZ_West
1942-09-01,0.0001032769973477,9,1942,AZ_West
1942-10-01,0.0001111130716776,10,1942,AZ_West
1942-11-01,0.0001526725302889,11,1942,AZ_West
1942-12-01,0.0001312434073483,12,1942,AZ_West
1943-01-01,0.0013828269562941,1,1943,AZ_West
1943-02-01,0.0007032300146642,2,1943,AZ_West
1943-03-01,0.000767512181401,3,1943,AZ_West
1943-04-01,0.0005662955261141,4,1943,AZ_West
1943-05-01,1.5807402874830776e-05,5,1943,AZ_West
1943-06-01,9.745412998775482e-05,6,1943,AZ_West
1943-07-01,0.0001627455012521,7,1943,AZ_West
1943-08-01,0.0010384974692755,8,1943,AZ_West
1943-09-01,0.0004007773134538,9,1943,AZ_West
1943-10-01,0.0003291463343669,10,1943,AZ_West
1943-11-01,3.303670903590152e-05,11,1943,AZ_West
1943-12-01,0.0008388917263702,12,1943,AZ_West
1944-01-01,0.0005266764452799,1,1944,AZ_West
1944-02-01,0.0019716301710123,2,1944,AZ_West
1944-03-01,0.0007178183955753,3,1944,AZ_West
1944-04-01,0.0005446791281065,4,1944,AZ_West
1944-05-01,9.944999667368406e-05,5,1944,AZ_West
1944-06-01,8.456162884971539e-05,6,1944,AZ_West
1944-07-01,6.299378363721557e-05,7,1944,AZ_West
1944-08-01,0.000130196054196,8,1944,AZ_West
1944-09-01,0.0001773026696521,9,1944,AZ_West
1944-10-01,7.752147355443069e-05,10,1944,AZ_West
1944-11-01,0.0011292738559032,11,1944,AZ_West
1944-12-01,0.0004423194317812,12,1944,AZ_West
1945-01-01,0.0003150608216911,1,1945,AZ_West
1945-02-01,0.0006578678317763,2,1945,AZ_West
1945-03-01,0.0019250246897632,3,1945,AZ_West
1945-04-01,0.0003142857109973,4,1945,AZ_West
1945-05-01,0.000147154851927,5,1945,AZ_West
1945-06-01,9.925231743632892e-05,6,1945,AZ_West
1945-07-01,0.0004063348744689,7,1945,AZ_West
1945-08-01,0.0016103661626604,8,1945,AZ_West
1945-09-01,0.0001408707330132,9,1945,AZ_West
1945-10-01,0.0007627262630229,10,1945,AZ_West
1945-11-01,0.0001173590419667,11,1945,AZ_West
1945-12-01,0.0008382622740618,12,1945,AZ_West
1946-01-01,0.0003639760287662,1,1946,AZ_West
1946-02-01,0.0002793138262694,2,1946,AZ_West
1946-03-01,0.000492223035043,3,1946,AZ_West
1946-04-01,0.0007005717491303,4,1946,AZ_West
1946-05-01,0.0002138681264776,5,1946,AZ_West
1946-06-01,1.1964795945186652e-06,6,1946,AZ_West
1946-07-01,0.0002459077691847,7,1946,AZ_West
1946-08-01,0.0001193757169934,8,1946,AZ_West
1946-09-01,0.0001452821012573,9,1946,AZ_West
1946-10-01,0.0015310777141685,10,1946,AZ_West
1946-11-01,0.001370766788787,11,1946,AZ_West
1946-12-01,0.0012824926051375,12,1946,AZ_West
1947-01-01,0.0002232596242804,1,1947,AZ_West
1947-02-01,0.0003077709663065,2,1947,AZ_West
1947-03-01,0.0003873351253136,3,1947,AZ_West
1947-04-01,0.0004108554865021,4,1947,AZ_West
1947-05-01,0.0004357908148633,5,1947,AZ_West
1947-06-01,9.462939772765184e-05,6,1947,AZ_West
1947-07-01,8.55673653204703e-05,7,1947,AZ_West
1947-08-01,0.0009919405408216,8,1947,AZ_West
1947-09-01,0.0002532166988817,9,1947,AZ_West
1947-10-01,0.0005124279339348,10,1947,AZ_West
1947-11-01,0.0004424130693147,11,1947,AZ_West
1947-12-01,0.0010120639403787,12,1947,AZ_West
1948-01-01,6.223774725575153e-05,1,1948,AZ_West
1948-02-01,0.000938255021624,2,1948,AZ_West
1948-03-01,0.0008764490474393,3,1948,AZ_West
1948-04-01,0.000300616365137,4,1948,AZ_West
1948-05-01,2.9015497181279588e-05,5,1948,AZ_West
1948-06-01,0.000111097465422,6,1948,AZ_West
1948-07-01,6.202272773441762e-05,7,1948,AZ_West
1948-08-01,0.0004139195146811,8,1948,AZ_West
