year,region,season,lead_month,sumDry_for,normal_for,sumMonsoon_for,sumDry_obs,normal_obs,sumMonsoon_obs,avgPCP_mmDay,antecedent_3m_for,antecedent_2m_for,antecedent_1m_for,antecedent_3m_obs,antecedent_2m_obs,antecedent_1m_obs,sumq_for,sumq_obs,sumtclw_for,sumtclw_obs,sumtcwv_for,sumtcwv_obs,sumtprate_for,sumtprate_obs,phase_soi,soi,dsst3.4,phase_nino,mei,phase_mei,ant_soi_obs,ant_soi_for,ant_mei_obs,ant_mei_for,ant_dsst3.4_obs,ant_dsst3.4_for
1981,AZ_East,AS,4.0,8.48,29.36,23.16,5,29,27,1.3243652,1.0542747533333332e-08,1.4846271499999998e-08,2.4687147e-08,,,,0.018587106,0.0172425868070635,0.107082162,0.0430389545548668,46.851337,42.8447744298272,4.9195021e-08,3.559418634624537e-08,,,,,,,0.7,-1.3,-0.34,0.33,-0.32,-0.51
1982,AZ_East,AS,4.0,8.16,29.32,23.52,2,21,38,2.08395075,7.482772333333332e-09,1.015377185e-08,1.705126e-08,,,,0.018294122,0.0189172214795764,0.105602506,0.0597798417563555,46.371845,46.552758927162245,5.0159347e-08,5.22075623275949e-08,,,,,,,-1.7,0.6,1.91,-0.27,0.93,0.25
1983,AZ_East,AS,4.0,17.16,30.4,13.44,0,18,43,2.74231515,7.314629e-09,8.576101e-09,1.3278831e-08,,,,0.0161706039999999,0.0197577469470944,0.085331925,0.0654340715938976,40.994337,49.08580291986513,3.7140453e-08,5.595546850201041e-08,,,,,,,0.1,-2.4,-0.17,2.61,-0.04,1.49
1984,AZ_East,AS,4.0,9.64,31.24,20.12,5,19,37,2.49073135,9.538254866666669e-09,1.28113113e-08,2.1489225e-08,,,,0.017831767,0.0189047614587746,0.100656505,0.0592424723086708,44.2155,45.95344185463483,4.919623e-08,5.4261686462415514e-08,,,,,,,0.4,-0.2,-0.2,-0.16,-0.04,-0.39
1985,AZ_East,AS,4.0,12.32,29.96,18.72,9,44,8,1.70804415,1.0403617733333333e-08,1.365622935e-08,2.2852866e-08,1.7368584717118443e-08,1.5209117563407408e-08,1.674095986925926e-08,0.0173127576,0.0163329544179034,0.097549099,0.048662932232847,43.332749,39.381975881131545,4.8811966e-08,4.489752341850463e-08,,,,,,,1.0,0.8,-0.49,-0.6,-0.35,-0.67
1986,AZ_East,AS,4.0,10.84,32.0,18.16,15,17,29,1.7788666,9.905143433333332e-09,1.30959049e-08,1.896326e-08,1.4961902202740354e-08,2.069376529687037e-08,2.1272494757428242e-08,0.0172584959999999,0.016931773860929,0.096599393,0.056437737240282,43.799591,42.53223436886,4.837666e-08,4.318208507321296e-08,,,,,,,-0.4,0.5,0.97,-0.4,0.51,-0.26
1987,AZ_East,AS,4.0,15.72,30.24,15.04,18,26,17,1.47413015,8.016787666666666e-09,8.936733350000001e-09,1.5858111e-08,1.5811990666222224e-08,1.703872230286169e-08,1.1883591738202549e-08,0.016613953,0.0160152731170914,0.090029244,0.0417765173163416,42.549497,39.79647881282556,3.9272564e-08,4.0085256898006953e-08,,,,,,,-0.9,-1.3,1.46,1.57,1.76,1.13
1988,AZ_East,AS,4.0,9.92,30.48,20.6,18,20,23,2.10660385,9.8434195e-09,1.332780275e-08,2.11741e-08,1.0143782202515433e-08,8.691617054706597e-09,3.6706496577870363e-09,0.017975636,0.0175511598047725,0.1046721519999999,0.0532837527982135,44.914545,42.25027973570226,4.9549559e-08,5.3781599120362276e-08,,,,,,,1.5,0.6,-1.81,0.17,-0.99,0.25
1989,AZ_East,AS,4.0,7.32,28.08,25.6,16,32,13,0.9468104,1.0649895666666669e-08,1.47209816e-08,2.6573106e-08,1.1179016386731866e-08,8.177503419299188e-09,9.512861829876157e-09,0.018582873,0.0148698422597259,0.11232919,0.0357617357183688,46.531253,36.86967279747997,5.567445400000001e-08,2.3016015681736113e-08,,,,,,,-0.3,1.1,-0.66,-1.24,-0.33,-1.05
1990,AZ_East,AS,4.0,11.44,28.64,20.92,4,39,18,2.12877205,9.589198333333332e-09,1.20349115e-08,1.9312637e-08,1.2546494394182873e-08,1.3648439415730904e-08,1.0953830039921297e-08,0.017635127,0.0170322581113942,0.098487712,0.0606822333114689,44.94969,41.58946407310139,4.5248452e-08,4.5823612960603015e-08,,,,,,,-0.2,-0.4,0.02,0.61,0.42,0.2
1991,AZ_East,AS,4.0,8.76,29.64,22.6,4,33,24,1.46476665,9.1343862e-09,1.13575003e-08,1.8851694e-08,1.8405819755665126e-08,2.1559923366898146e-08,3.138565996543981e-08,0.017868376,0.0171379393704039,0.101267788,0.0495384454751898,45.690079,44.33375945263688,4.5989107e-08,3.5012220209563654e-08,,,,,,,-0.4,-0.7,0.37,0.2,0.69,0.05
