year,region,season,lead_month,sumDry.for,normal.for,sumMonsoon.for,sumDry.obs,normal.obs,sumMonsoon.obs,avgPCP_mmDay,phase_soi,soi,dsst3.4,phase_nino,mei,phase_mei,ant_soi.obs,ant_soi.for,ant_mei.obs,ant_mei.for,ant_dsst3.4.obs,ant_dsst3.4.for
1981,AZ_East,AS,4.0,8.48,29.36,23.16,5,29,27,1.3243652,,,,,,,,,,,,
1982,AZ_East,AS,4.0,8.16,29.32,23.52,2,21,38,2.08395075,,,,,,,,,,,,
1983,AZ_East,AS,4.0,17.16,30.4,13.44,0,18,43,2.74231515,,,,,,,,,,,,
1984,AZ_East,AS,4.0,9.64,31.24,20.12,5,19,37,2.49073135,,,,,,,,,,,,
1985,AZ_East,AS,4.0,12.32,29.96,18.72,9,44,8,1.70804415,,,,,,,,,,,,
1986,AZ_East,AS,4.0,10.84,32.0,18.16,15,17,29,1.7788666,,,,,,,,,,,,
1987,AZ_East,AS,4.0,15.72,30.24,15.04,18,26,17,1.47413015,,,,,,,,,,,,
1988,AZ_East,AS,4.0,9.92,30.48,20.6,18,20,23,2.10660385,,,,,,,,,,,,
1989,AZ_East,AS,4.0,7.32,28.08,25.6,16,32,13,0.9468104,,,,,,,,,,,,
1990,AZ_East,AS,4.0,11.44,28.64,20.92,4,39,18,2.12877205,,,,,,,,,,,,
1991,AZ_East,AS,4.0,8.76,29.64,22.6,4,33,24,1.46476665,,,,,,,,,,,,
1992,AZ_East,AS,4.0,13.76,30.520000000000003,16.72,16,22,23,1.867719335,,,,,,,,,,,,
1993,AZ_East,AS,4.0,13.28,32.4,15.32,18,26,17,1.87336792,,,,,,,,,,,,
1994,AZ_East,AS,4.0,6.6,30.64,23.76,12,31,18,1.5817874500000002,,,,,,,,,,,,
1995,AZ_East,AS,4.0,11.6,29.0,20.4,10,30,21,1.7660678,,,,,,,,,,,,
1996,AZ_East,AS,4.0,14.32,30.0,16.68,12,35,14,1.9418134,,,,,,,,,,,,
1997,AZ_East,AS,4.0,10.0,27.96,23.040000000000003,0,22,39,1.8852534,,,,,,,,,,,,
1998,AZ_East,AS,4.0,9.52,28.44,23.04,8,27,26,1.3284271,,,,,,,,,,,,
1999,AZ_East,AS,4.0,9.32,25.72,25.96,9,32,20,2.30636785,,,,,,,,,,,,
2000,AZ_East,AS,4.0,10.96,27.72,22.32,17,28,16,1.267108245,,,,,,,,,,,,
2001,AZ_East,AS,4.0,8.84,30.28,21.880000000000003,23,21,17,1.34664505,,,,,,,,,,,,
2002,AZ_East,AS,4.0,9.72,30.08,21.2,22,32,7,1.6035175000000002,,,,,,,,,,,,
2003,AZ_East,AS,4.0,9.08,29.8,22.12,17,19,25,1.3496017,,,,,,,,,,,,
2004,AZ_East,AS,4.0,9.4,29.4,22.2,24,28,9,1.5182611,,,,,,,,,,,,
2005,AZ_East,AS,4.0,9.04,29.56,22.4,16,29,16,1.4385473,,,,,,,,,,,,
2006,AZ_East,AS,4.0,12.68,26.76,21.56,15,19,27,1.98592345,,,,,,,,,,,,
2007,AZ_East,AS,4.0,10.56,29.24,21.2,9,29,23,1.4960884,,,,,,,,,,,,
2008,AZ_East,AS,4.0,10.6,28.0,22.4,13,33,15,1.4647148,,,,,,,,,,,,
2009,AZ_East,AS,4.0,8.68,27.0,25.32,22,33,6,0.90934778,,,,,,,,,,,,
2010,AZ_East,AS,4.0,9.28,26.880000000000003,24.840000000000003,15,32,14,1.47414148,,,,,,,,,,,,
2011,AZ_East,AS,4.0,12.64,29.28,19.08,13,33,15,1.5847017,,,,,,,,,,,,
2012,AZ_East,AS,4.0,9.52,28.28,23.2,13,26,22,1.4034735,,,,,,,,,,,,
2013,AZ_East,AS,4.0,8.4,25.48,27.12,9,22,30,1.95974965,,,,,,,,,,,,
2014,AZ_East,AS,4.0,8.2,26.92,25.880000000000003,6,26,29,2.5513426,,,,,,,,,,,,
2015,AZ_East,AS,4.0,5.84,29.4,25.76,0,45,16,1.72275795,,,,,,,,,,,,
2016,AZ_East,AS,4.0,5.76,27.28,27.96,9,39,13,2.0070674,,,,,,,,,,,,
2017,AZ_East,AS,4.0,8.76,29.24,23.0,13,34,14,0.96314979,,,,,,,,,,,,
2018,AZ_East,AS,4.0,7.92,27.53,25.54,11,35,15,1.378445,,,,,,,,,,,,
2019,AZ_East,AS,4.0,8.629999999999999,28.02,24.35,11,42,8,1.32670355,,,,,,,,,,,,
2020,AZ_East,AS,4.0,8.11,28.44,24.450000000000003,34,26,1,0.43167562,,,,,,,,,,,,
2021,AZ_East,AS,4.0,10.02,24.75,26.24,7,38,16,1.8160722,,,,,,,,,,,,
2022,AZ_East,AS,4.0,8.17,25.98,26.85,2,24,35,2.2785555,,,,,,,,,,,,
2023,AZ_East,AS,4.0,9.65,28.85,22.51,19,17,25,1.21802225,,,,,,,,,,,,
1981,AZ_East,AS,5.0,14.12,27.84,19.04,5,29,27,1.3243652,,,,,,,,,,,,
1982,AZ_East,AS,5.0,10.56,31.52,18.92,2,21,38,2.08395075,,,,,,,,,,,,
1983,AZ_East,AS,5.0,12.88,33.36,14.76,0,18,43,2.74231515,,,,,,,,,,,,
1984,AZ_East,AS,5.0,11.04,25.24,24.72,5,19,37,2.49073135,,,,,,,,,,,,
1985,AZ_East,AS,5.0,13.52,27.72,19.76,9,44,8,1.70804415,,,,,,,,,,,,
1986,AZ_East,AS,5.0,8.76,29.16,23.08,15,17,29,1.7788666,,,,,,,,,,,,
1987,AZ_East,AS,5.0,12.8,30.16,18.04,18,26,17,1.47413015,,,,,,,,,,,,
1988,AZ_East,AS,5.0,9.88,26.28,24.840000000000003,18,20,23,2.10660385,,,,,,,,,,,,
1989,AZ_East,AS,5.0,7.48,26.8,26.72,16,32,13,0.9468104,,,,,,,,,,,,
1990,AZ_East,AS,5.0,10.4,30.76,19.84,4,39,18,2.12877205,,,,,,,,,,,,
1991,AZ_East,AS,5.0,9.88,30.08,21.04,4,33,24,1.46476665,,,,,,,,,,,,
1992,AZ_East,AS,5.0,9.8,31.880000000000003,19.32,16,22,23,1.867719335,,,,,,,,,,,,
1993,AZ_East,AS,5.0,11.04,27.84,22.12,18,26,17,1.87336792,,,,,,,,,,,,
1994,AZ_East,AS,5.0,9.04,30.08,21.880000000000003,12,31,18,1.5817874500000002,,,,,,,,,,,,
1995,AZ_East,AS,5.0,9.8,30.0,21.2,10,30,21,1.7660678,,,,,,,,,,,,
1996,AZ_East,AS,5.0,10.76,27.4,22.84,12,35,14,1.9418134,,,,,,,,,,,,
1997,AZ_East,AS,5.0,10.12,30.16,20.72,0,22,39,1.8852534,,,,,,,,,,,,
1998,AZ_East,AS,5.0,9.24,27.12,24.64,8,27,26,1.3284271,,,,,,,,,,,,
1999,AZ_East,AS,5.0,8.8,29.52,22.68,9,32,20,2.30636785,,,,,,,,,,,,
2000,AZ_East,AS,5.0,9.8,25.12,26.08,17,28,16,1.267108245,,,,,,,,,,,,
2001,AZ_East,AS,5.0,15.08,26.24,19.68,23,21,17,1.34664505,,,,,,,,,,,,
2002,AZ_East,AS,5.0,11.44,28.56,21.0,22,32,7,1.6035175000000002,,,,,,,,,,,,
2003,AZ_East,AS,5.0,10.6,25.56,24.84,17,19,25,1.3496017,,,,,,,,,,,,
2004,AZ_East,AS,5.0,9.68,30.48,20.84,24,28,9,1.5182611,,,,,,,,,,,,
2005,AZ_East,AS,5.0,7.16,28.32,25.52,16,29,16,1.4385473,,,,,,,,,,,,
2006,AZ_East,AS,5.0,9.56,27.880000000000003,23.56,15,19,27,1.98592345,,,,,,,,,,,,
